contains_bug,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,glm_probability,rf_probability
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,4.0,4.0,1.7783283537314116,11.0,3.0,206.25,True,7.0,40.228278356481475,4.0,6.0,6.0,5.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,2.0,2.0,2.0,0.9456603046006402,6.0,5.0,246.0,False,5.0,23.851412037037036,2.0,5.0,5.0,2.0,0.0,0.0
False,1.0,4.0,4.0,1.8640054628542204,13.0,11.0,385.5,False,5.0,0.9821961805555555,2.0,4.0,4.0,3.0,0.0,0.0
False,1.0,1.0,1.0,0.0,0.0,9.0,88.0,False,1.0,0.20916666666666667,1.0,3.0,3.0,2.0,0.0,0.0
False,1.0,4.0,4.0,1.8676338909712122,7.0,4.0,384.5,False,5.0,0.2707291666666667,1.0,2.0,2.0,1.0,0.0,0.0
False,1.0,4.0,4.0,1.8077635764171942,6.0,11.0,162.0,False,6.0,0.07422453703703703,1.0,1.0,1.0,0.0,0.0,0.0
False,1.0,12.0,18.0,2.994048913261255,219.0,56.0,178.44444444444446,False,5.0,62.73675925925925,3.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,5.0,6.0,2.4851018534544216,13.0,14.0,160.66666666666666,False,6.0,11.817868441358025,2.0,130.0,11.407584891664172,108.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,103.0,False,4.0,3.3812152777777778,1.0,129.0,10.407584891664172,14.0,0.0,0.0
False,1.0,2.0,2.0,0.9182958340544896,3.0,0.0,71.0,False,2.0,116.18237268518519,1.0,128.0,9.407584891664172,107.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,2.0,2.0,0.7849920887641584,45.0,2.0,384.5,True,1.0,115.72598379629629,1.0,7.0,0.3409672169262963,6.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,2.0,3.0,3.0,0.9912642605354289,13.0,13.0,192.33333333333334,True,4.0,10.70423611111111,1.0,1.0,0.5,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,216.0,True,5.0,10.653726851851852,1.0,127.0,8.904832428082523,106.0,0.0,0.0
